Index	Cost	UpgradeCnt	Total Cost	Time	Basic	Magic	Rare	Heroic	Legendary	Unique	Mythic	Ancient	Abyssal	Genesis
1	0	0	0	0.00	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2	400	1	400	0.00	99.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
3	700	1	700	0.00	98.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
4	1500	1	1500	30m	96.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
5	3500	1	3500	1h	91.50%	8.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
6	10000	1	10000	1h 59m	82.00%	16.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
7	25000	1	25000	7h 33m	64.00%	32.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
8	50000	1	50000	13h 6m	27.80%	64.00%	8.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
9	33300	3	99900	18h 39m	13.00%	70.00%	16.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
10	50000	3	150000	1d 13m	6.00%	60.00%	32.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
11	83300	3	249900	1d 11h	0.00%	31.90%	64.00%	4.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%
12	112000	3	336000	2d 1h	0.00%	27.50%	64.00%	8.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%
13	113000	4	452000	2d 17h	0.00%	8.00%	75.00%	16.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%
14	153000	4	612000	3d 13h	0.00%	0.00%	65.95%	32.00%	2.00%	0.05%	0.00%	0.00%	0.00%	0.00%
15	166000	5	830000	4d 11h	0.00%	0.00%	31.75%	64.00%	4.00%	0.25%	0.00%	0.00%	0.00%	0.00%
16	224000	5	1120000	5d 9h	0.00%	0.00%	21.50%	70.00%	8.00%	0.50%	0.00%	0.00%	0.00%	0.00%
17	252000	6	1512000	6d 7h	0.00%	0.00%	0.00%	82.95%	16.00%	1.00%	0.05%	0.00%	0.00%	0.00%
18	291,000	7	2037000	7d 6h	0.00%	0.00%	0.00%	65.75%	32.00%	2.00%	0.25%	0.00%	0.00%	0.00%
19	344000	8	2752000	8d 4h	0.00%	0.00%	0.00%	31.50%	64.00%	4.00%	0.50%	0.00%	0.00%	0.00%
20	413000	9	3717000	9d 2h	0.00%	0.00%	0.00%	0.00%	90.95%	8.00%	1.00%	0.05%	0.00%	0.00%
21	502000	10	5020000	10d 53m	0.00%	0.00%	0.00%	0.00%	81.75%	16.00%	2.00%	0.25%	0.00%	0.00%
22	678000	10	6780000	10d 23h	0.00%	0.00%	0.00%	0.00%	63.50%	32.00%	4.00%	0.50%	0.00%	0.00%
23	916000	10	9160000	11d 21h	0.00%	0.00%	0.00%	0.00%	27.00%	64.00%	8.00%	1.00%	0.00%	0.00%
24	1,230,000	10	12300000	12d 19h	0.00%	0.00%	0.00%	0.00%	0.00%	81.99%	16.00%	2.00%	0.01%	0.00%
25	1660000	10	16600000	13d 17h	0.00%	0.00%	0.00%	0.00%	0.00%	63.95%	32.00%	4.00%	0.05%	0.00%
26	2000000	10	20000000	14d 15h	0.00%	0.00%	0.00%	0.00%	0.00%	43.75%	50.00%	6.00%	0.25%	0.00%
27	2400000	10	24000000	15d 14h	0.00%	0.00%	0.00%	0.00%	0.00%	31.50%	60.00%	8.00%	0.50%	0.00%
28	2880000	10	28800000	16d 12h	0.00%	0.00%	0.00%	0.00%	0.00%	21.00%	65.00%	13.00%	1.00%	0.00%
29	3460000	10	34600000	17d 10h	0.00%	0.00%	0.00%	0.00%	0.00%	7.00%	68.00%	23.00%	2.00%	0.00%
30	4150000	10	41500000	18d 8h	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	59.99%	36.00%	4.00%	0.01%
31	4980000	10	49800000	19d 7h	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	50.95%	43.00%	6.00%	0.05%
32	5980000	10	59800000	20d 5h	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	41.75%	50.00%	8.00%	0.25%
33	7170000	10	71700000	21d 3h	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	28.50%	58.00%	13.00%	0.50%
34	8610000	10	86100000	22d 1h	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.00%	64.00%	23.00%	1.00%
35	10300000	10	103000000	23d	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	62.00%	36.00%	2.00%
