Index	Common	Magic	Rare	Heroic	Legendary	Unique	Mythic	Ancient	Abyssal	Genesis
1	1	0	0	0	0	0	0	0	0	0
2	2	1	0	0	0	0	0	0	0	0
3	3	2	0	0	0	0	0	0	0	0
4	4	3	0	0	0	0	0	0	0	0
5	5	4	1	0	0	0	0	0	0	0
6	5	5	2	0	0	0	0	0	0	0
7	5	5	3	0	0	0	0	0	0	0
8	5	5	4	1	0	0	0	0	0	0
9	5	5	5	2	0	0	0	0	0	0
10	5	5	5	3	0	0	0	0	0	0
11	0	5	5	4	1	0	0	0	0	0
12	0	5	5	5	2	0	0	0	0	0
13	0	5	5	6	3	0	0	0	0	0
14	0	0	5	6	4	1	0	0	0	0
15	0	0	5	6	5	2	0	0	0	0
16	0	0	5	6	6	3	0	0	0	0
17	0	0	0	6	6	4	1	0	0	0
18	0	0	0	6	6	5	2	0	0	0
19	0	0	0	6	6	6	3	0	0	0
20	0	0	0	0	6	6	4	1	0	0
21	0	0	0	0	6	6	5	2	0	0
22	0	0	0	0	6	6	6	3	0	0
23	0	0	0	0	6	6	6	4	0	0
24	0	0	0	0	0	6	6	5	1	0
25	0	0	0	0	0	6	6	6	2	0
26	0	0	0	0	0	6	6	6	3	0
27	0	0	0	0	0	6	6	6	4	0
28	0	0	0	0	0	6	6	6	5	0
29	0	0	0	0	0	6	6	6	6	0
30	0	0	0	0	0	0	6	6	6	1
31	0	0	0	0	0	0	6	6	6	2
32	0	0	0	0	0	0	6	6	6	3
33	0	0	0	0	0	0	6	6	6	4
34	0	0	0	0	0	0	6	6	6	5
35	0	0	0	0	0	0	0	6	6	6
