Index	Cost	UpgradeCnt	Total Cost	Time	Common	Magic	Rare	Heroic	Legendary	Unique	Mythic	Ancient	Abyssal	Genesis
1	0	0	0	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	400	1	400	0	99.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	700	1	700	0	98.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4	1500	1	1500	1800	96.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5	3500	1	3500	3600	91.50	8.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6	10000	1	10000	7140	82.00	16.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7	25000	1	25000	27180	64.00	32.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8	50000	1	50000	47160	27.80	64.00	8.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00
9	33300	3	99900	67140	13.00	70.00	16.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
10	50000	3	150000	87180	6.00	60.00	32.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
11	83300	3	249900	126000	0.00	31.90	64.00	4.00	0.10	0.00	0.00	0.00	0.00	0.00
12	112000	3	336000	176400	0.00	27.50	64.00	8.00	0.50	0.00	0.00	0.00	0.00	0.00
13	113000	4	452000	234000	0.00	8.00	75.00	16.00	1.00	0.00	0.00	0.00	0.00	0.00
14	153000	4	612000	306000	0.00	0.00	65.95	32.00	2.00	0.05	0.00	0.00	0.00	0.00
15	166000	5	830000	385200	0.00	0.00	31.75	64.00	4.00	0.25	0.00	0.00	0.00	0.00
16	224000	5	1120000	464400	0.00	0.00	21.50	70.00	8.00	0.50	0.00	0.00	0.00	0.00
17	252000	6	1512000	543600	0.00	0.00	0.00	82.95	16.00	1.00	0.05	0.00	0.00	0.00
18	291000	7	2037000	626400	0.00	0.00	0.00	65.75	32.00	2.00	0.25	0.00	0.00	0.00
19	344000	8	2752000	705600	0.00	0.00	0.00	31.50	64.00	4.00	0.50	0.00	0.00	0.00
20	413000	9	3717000	784800	0.00	0.00	0.00	0.00	90.95	8.00	1.00	0.05	0.00	0.00
21	502000	10	5020000	867180	0.00	0.00	0.00	0.00	81.75	16.00	2.00	0.25	0.00	0.00
22	678000	10	6780000	946800	0.00	0.00	0.00	0.00	63.50	32.00	4.00	0.50	0.00	0.00
23	916000	10	9160000	1026000	0.00	0.00	0.00	0.00	27.00	64.00	8.00	1.00	0.00	0.00
24	1230000	10	12300000	1105200	0.00	0.00	0.00	0.00	0.00	81.99	16.00	2.00	0.01	0.00
25	1660000	10	16600000	1184400	0.00	0.00	0.00	0.00	0.00	63.95	32.00	4.00	0.05	0.00
26	2000000	10	20000000	1263600	0.00	0.00	0.00	0.00	0.00	43.75	50.00	6.00	0.25	0.00
27	2400000	10	24000000	1346400	0.00	0.00	0.00	0.00	0.00	31.50	60.00	8.00	0.50	0.00
28	2880000	10	28800000	1425600	0.00	0.00	0.00	0.00	0.00	21.00	65.00	13.00	1.00	0.00
29	3460000	10	34600000	1504800	0.00	0.00	0.00	0.00	0.00	7.00	68.00	23.00	2.00	0.00
30	4150000	10	41500000	1584000	0.00	0.00	0.00	0.00	0.00	0.00	59.99	36.00	4.00	0.01
31	4980000	10	49800000	1666800	0.00	0.00	0.00	0.00	0.00	0.00	50.95	43.00	6.00	0.05
32	5980000	10	59800000	1746000	0.00	0.00	0.00	0.00	0.00	0.00	41.75	50.00	8.00	0.25
33	7170000	10	71700000	1825200	0.00	0.00	0.00	0.00	0.00	0.00	28.50	58.00	13.00	0.50
34	8610000	10	86100000	1904400	0.00	0.00	0.00	0.00	0.00	0.00	12.00	64.00	23.00	1.00
35	10300000	10	103000000	1987200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.00	36.00	2.00
